Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price,,,,,S&P 100
"January 1, 1983",145.30,138.1702212,2.76,3.362098275,,,,,74.665001
"February 1, 1983",148.06,136.61689,4.90,-1.553331182,,,,,75.209999
"March 1, 1983",152.96,148.9121987,11.47,12.29530862,,,,,76.879997
"April 1, 1983",164.43,156.893849,-2.04,7.981650366,,,,,83.315002
"May 1, 1983",162.39,158.4868827,5.25,1.59303362,,,,,81.099998
"June 1, 1983",167.64,160.5226221,-5.08,2.035739442,,,,,84.269997
"July 1, 1983",162.56,155.2485098,1.84,-5.27411233,,,,,81.565002
"August 1, 1983",164.40,154.1690947,1.67,-1.079415099,,,,,82.989998
"September 1, 1983",166.07,151.8469833,-2.52,-2.3221114,,,,,83.529999
"October 1, 1983",163.55,154.8780536,2.85,3.031070324,,,,,82.160004
"November 1, 1983",166.40,157.7240179,-1.47,2.845964307,,,,,83.224998
"December 1, 1983",164.93,163.1271653,-1.52,5.403147422,,,,,83.059998
"January 1, 1984",163.41,167.3750318,-6.35,4.247866457,,,,,80.824997
"February 1, 1984",157.06,167.7563966,2.12,0.381364847,,,,,77.07
"March 1, 1984",159.18,167.3709734,0.87,-0.385423173,,,,,78.425003
"April 1, 1984",160.05,168.0506917,-9.50,0.679718294,,,,,79.339996
"May 1, 1984",150.55,164.0059722,2.63,-4.044719504,,,,,74.769997
"June 1, 1984",153.18,163.5060081,-2.52,-0.49996417,,,,,75.959999
"July 1, 1984",150.66,158.9754621,16.02,-4.530545957,,,,,75.089996
"August 1, 1984",166.68,164.7401607,-0.58,5.764698576,,,,,83.214996
"September 1, 1984",166.10,170.7571817,-0.01,6.017021028,,,,,82.660004
"October 1, 1984",166.09,172.5756919,-2.51,1.818510197,,,,,82.68
"November 1, 1984",163.58,175.4924555,3.66,2.916763551,,,,,80.525002
"December 1, 1984",167.24,178.2988399,12.39,2.806384443,,,,,82.540001
"January 1, 1985",179.63,183.7784712,1.55,5.479631324,,,,,89.080002
"February 1, 1985",181.18,187.7012271,-0.52,3.922755879,,,,,89.339996
"March 1, 1985",180.66,189.4648665,-0.83,1.763639416,,,,,88.07
"April 1, 1985",179.83,189.7114657,9.72,0.246599134,,,,,87.474998
"May 1, 1985",189.55,195.2369942,2.30,5.52552856,,,,,92.040001
"June 1, 1985",191.85,197.9129554,-0.93,2.675961195,,,,,92.815002
"July 1, 1985",190.92,200.1002243,-2.29,2.18726887,,,,,93
"August 1, 1985",188.63,194.4206604,-6.55,-5.679563926,,,,,91.184998
"September 1, 1985",182.08,189.2839987,7.74,-5.136661699,,,,,88.529999
"October 1, 1985",189.82,192.9956548,12.35,3.711656112,,,,,91.584999
"November 1, 1985",202.17,191.9666434,9.11,-1.029011337,,,,,97.815002
"December 1, 1985",211.28,195.4505746,0.50,3.4839312,,,,,103.010002
"January 1, 1986",211.78,202.6040922,15.14,7.153517613,,,,,102
"February 1, 1986",226.92,205.6109376,11.98,3.006845307,,,,,108.785004
"March 1, 1986",238.90,217.9374572,-3.38,12.32651963,,,,,113.800003
"April 1, 1986",235.52,216.2819393,11.83,-1.65551787,,,,,113.305
"May 1, 1986",247.35,211.3579899,3.49,-4.923949464,,,,,118.025002
"June 1, 1986",250.84,220.7481576,-14.72,9.390167754,,,,,118.580002
"July 1, 1986",236.12,218.3026091,16.81,-2.44554853,,,,,111.080002
"August 1, 1986",252.93,224.3701651,-21.61,6.067555983,,,,,118.660004
"September 1, 1986",231.32,220.8569981,12.66,-3.513166954,,,,,109.809998
"October 1, 1986",243.98,224.4558298,5.24,3.598831656,,,,,114.760002
"November 1, 1986",249.22,222.0925359,-7.05,-2.36329386,,,,,118.029999
"December 1, 1986",242.17,216.0978064,31.91,-5.994729502,,,,,115.544998
"January 1, 1987",274.08,227.0442278,10.12,10.94642142,,,,,131.479996
"February 1, 1987",284.20,233.6692837,7.50,6.62505589,,,,,136.595001
"March 1, 1987",291.70,232.6803867,-3.34,-0.988897054,,,,,141.035004
"April 1, 1987",288.36,228.7442652,1.74,-3.936121473,,,,,141.705002
"May 1, 1987",290.10,225.9842897,13.90,-2.759975464,,,,,142.479996
"June 1, 1987",304.00,230.8815428,14.66,4.897253114,,,,,149.485001
"July 1, 1987",318.66,229.5111902,11.14,-1.370352606,,,,,155.925003
"August 1, 1987",329.80,222.6011391,-7.97,-6.910051078,,,,,162.929993
"September 1, 1987",321.83,219.5888353,-70.04,-3.012303837,,,,,157.75
"October 1, 1987",251.79,184.8020125,-21.49,-34.78682279,,,,,124.110001
"November 1, 1987",230.30,187.8847718,16.78,3.082759248,,,,,111.940002
"December 1, 1987",247.08,193.8236362,9.99,5.938864406,,,,,119.129997
"January 1, 1988",257.07,202.9946872,10.75,9.171051041,,,,,122.879997
"February 1, 1988",267.82,209.2395224,-8.93,6.24483518,,,,,127.720001
"March 1, 1988",258.89,208.6362373,2.44,-0.60328504,,,,,121.695
"April 1, 1988",261.33,208.9483943,0.83,0.312156948,,,,,123.864998
"May 1, 1988",262.16,204.770664,11.34,-4.177730285,,,,,124.904999
"June 1, 1988",273.50,210.2886701,-1.48,5.518006071,,,,,130.824997
"July 1, 1988",272.02,211.325588,-10.50,1.036917871,,,,,130.240005
"August 1, 1988",261.52,208.8531927,10.39,-2.472395263,,,,,124.07
"September 1, 1988",271.91,208.6402832,7.06,-0.212909539,,,,,128.464996
"October 1, 1988",278.97,206.424564,-5.27,-2.215719122,,,,,132.115005
"November 1, 1988",273.70,201.0769483,4.02,-5.347615765,,,,,130.130005
"December 1, 1988",277.72,203.0683402,19.75,1.991391898,,,,,131.929993
"January 1, 1989",297.47,206.3350902,-8.61,3.266750032,,,,,142.440002
"February 1, 1989",288.86,204.3104141,6.01,-2.024676072,,,,,137.020004
"March 1, 1989",294.87,203.6657263,14.77,-0.644687823,,,,,138.294998
"April 1, 1989",309.64,207.9231573,10.88,4.25743099,,,,,145.544998
"May 1, 1989",320.52,208.8806384,-2.54,0.957481149,,,,,149.175003
"June 1, 1989",317.98,211.377819,28.10,2.497180565,,,,,147.440002
"July 1, 1989",346.08,217.6923509,5.37,6.314531863,,,,,160.720001
"August 1, 1989",351.45,218.3765357,-2.30,0.684184854,,,,,163.595001
"September 1, 1989",349.15,215.0805116,-8.79,-3.296024095,,,,,162.580002
"October 1, 1989",340.36,208.0524154,5.63,-7.02809619,,,,,158.990005
"November 1, 1989",345.99,206.2274999,7.41,-1.824915534,,,,,161.414993
"December 1, 1989",353.40,204.2437027,-24.32,-1.983797186,,,,,164.675003
"January 1, 1990",329.08,194.6598905,2.81,-9.583812228,,,,,153.940002
"February 1, 1990",331.89,191.8883261,8.05,-2.771564406,,,,,156.240005
"March 1, 1990",339.94,192.3089867,-9.14,0.420660659,,,,,160.014999
"April 1, 1990",330.80,187.6012652,30.43,-4.707721495,,,,,157.115005
"May 1, 1990",361.23,186.3222206,-3.21,-1.279044603,,,,,171.330002
"June 1, 1990",358.02,179.3874822,-1.87,-6.934738468,,,,,169.899994
"July 1, 1990",356.15,176.4667749,-33.59,-2.920707254,,,,,169.339996
"August 1, 1990",322.56,162.2638273,-16.51,-14.20294761,,,,,153.199997
"September 1, 1990",306.05,149.5768836,-2.05,-12.68694367,,,,,145.729996
"October 1, 1990",304.00,143.0718276,18.22,-6.505055992,,,,,144.914993
"November 1, 1990",322.22,152.0769097,8.00,9.005082044,,,,,152.865005
"December 1, 1990",330.22,150.2119115,13.71,-1.864998223,,,,,155.225006
"January 1, 1991",343.93,165.5485476,23.14,15.33663616,,,100.00 ,100.00 ,162.914993
"February 1, 1991",367.07,167.8496724,8.15,2.301124812,,,100.46 ,100.52 ,174.039993
"March 1, 1991",375.22,180.779594,0.12,12.92992152,,,100.72 ,100.51 ,177.714996
"April 1, 1991",375.34,184.1063,14.49,3.326706088,,,100.73 ,100.35 ,177.710007
"May 1, 1991",389.83,185.180216,-18.67,1.073915982,,,100.88 ,100.43 ,185.065002
"June 1, 1991",371.16,178.6003889,16.65,-6.579827139,,,101.38 ,100.54 ,176.554993
"July 1, 1991",387.81,180.9476653,7.62,2.347276407,,,101.35 ,100.58 ,185.039993
"August 1, 1991",395.43,179.0359264,-7.57,-1.911738864,,,101.27 ,100.40 ,186.744995
"September 1, 1991",387.86,182.1768086,4.59,3.140882169,,,101.40 ,100.66 ,182.009995
"October 1, 1991",392.45,178.8753653,-17.23,-3.301443285,,,101.59 ,100.96 ,184.044998
"November 1, 1991",375.22,176.978562,41.87,-1.896803318,,,102.13 ,101.53 ,176.005005
"December 1, 1991",417.09,188.4749124,-8.31,11.49635041,,,102.18 ,101.89 ,192.779999
"January 1, 1992",408.78,196.5372076,3.92,8.062295206,,,102.27 ,102.28 ,190.104996
"February 1, 1992",412.70,190.466187,-9.01,-6.071020585,,,102.94 ,103.01 ,192.455002
"March 1, 1992",403.69,186.2010872,11.26,-4.265099803,,,103.08 ,102.87 ,188.809998
"April 1, 1992",414.95,184.2465102,0.40,-1.954577019,,,102.97 ,102.57 ,194.740005
"May 1, 1992",415.35,191.0820557,-7.21,6.835545528,,,103.15 ,102.66 ,195.419998
"June 1, 1992",408.14,187.4235031,16.07,-3.65855258,,,103.51 ,102.64 ,191.889999
"July 1, 1992",424.21,194.3379498,-10.18,6.91444662,,,103.77 ,102.95 ,197.904999
"August 1, 1992",414.03,193.7518004,3.77,-0.586149376,,,104.34 ,103.42 ,192.160004
"September 1, 1992",417.80,196.6365322,0.88,2.884731806,,,104.60 ,103.83 ,192.100006
"October 1, 1992",418.68,195.108581,12.67,-1.527951195,,,104.78 ,104.13 ,191.304993
"November 1, 1992",431.35,197.9708239,4.36,2.862242883,,,105.04 ,104.44 ,196.369995
"December 1, 1992",435.71,200.541871,3.07,2.57104709,,,104.64 ,104.36 ,198.320007
"January 1, 1993",438.78,212.1740014,4.60,11.63213041,,,104.39 ,104.41 ,200.785004
"February 1, 1993",443.38,222.4014248,8.29,10.22742339,,,104.07 ,104.17 ,203.830002
"March 1, 1993",451.67,240.2591472,-11.48,17.8577224,,,104.67 ,104.47 ,207.179993
"April 1, 1993",440.19,228.3660791,10.00,-11.89306804,,,105.56 ,105.14 ,203.559998
"May 1, 1993",450.19,223.716089,0.34,-4.649990103,,,105.90 ,105.35 ,208.779999
"June 1, 1993",450.53,229.9298034,-2.40,6.213714373,,,106.69 ,105.75 ,208.369995
